IDX,LABEL,SHORT Q,LONG Q_ENG,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE,IDXMIN,IDXMAX,SUM50,PARENT,IMAGE,ADDITIONAL_INFO
1,"Informal (non-tectonic)",Ice melting,"The Norwegian Ice Block Expedition of 1959 drove a lorry with three metric tons of ice from the Polar Circle to a hospital in Africa at the Equator – with no refrigeration – using only glass fibre for insulation. Starting with a mass of 3050 kg of ice, what mass remained at the end of the journey?",kg,uni,0,inf,5911,seed,0,0,0,-1,,
2,"1",Major active faults in Japan,"In its 1999 report, The Promotion of Earthquake Research: Basic Comprehensive Policy for the Promotion of Earthquake Observation, Measurement, Surveys and Research, how many “major active faults” did the Japanese Government identify?",n°,uni,0,inf,2064780,seed,0,0,0,-1,,
3,"2",NE Japan regional strain rate,"The Centennial Geodetic Analysis Model for northeast Japan combined historical and modern geodetic observations spanning 1894–2009. What central value did the model estimate for the steady maximum shear-strain rate, expressed in nanostrain/yr? [Source: Meneses-Gutierrez, Segall & Sagiya, 2022]",nanostrain/yr,uni,0,inf,25,seed,0,0,0,-1,,
4,"3",2011 Tohoku earthquake coseismic subsidence ,"What was the maximum magnitude of coseismic subsidence recorded by the GNSS/GEONET network along the Pacific coast during the 2011 Tohoku-oki earthquake, in cm? [Source: Nishimura, Munekane & Yarai, 2011]",cm,uni,0,inf,837,seed,0,0,0,-1,,
5,"4",ScS-associated permanent displacement,"Several minutes after the 2011 Tohoku-oki mainshock, ScS waves reflected from the core–mantle boundary produced transient motion at nearly all GNSS stations in Japan. Superimposed on this motion was a permanent, step-like eastward displacement, with a reported maximum of 6 mm. For the Hokkaido stations, what was the estimated mean permanent eastward displacement, expressed as a percentage of 6 mm? [Source: Park, Kanamori & Rivera, 2026]",%,uni,0,inf,27.51,seed,0,0,0,-1,,
6,"5",Uplift rate – upper endpoint,"For the Shizunai area on the Hidaka coast of southern Hokkaido, a range of long-term late-Quaternary uplift rates was estimated from adjusted relative sea-level elevations of MIS 5e marine terraces (130–116 ka), with peak sea level at approximately 124 ka. The lower endpoint of the reported range is 0.25 mm/yr. What is the corresponding upper endpoint, in mm/yr? [Nakanishi & Ashi, 2022]",mm/yr,uni,0,inf,12,seed,0,0,0,-1,,
7,"6",Deformation budget fraction,"According to Kato et al. (2004), using the long-term whole-system shortening estimate adopted from Ito (2002) and the Amurian–Okhotsk convergence rate from the plate-motion model used in that study, what fraction of regional plate convergence was inferred to be accommodated by shortening across the entire Hidaka thrust system in central Hokkaido? Express your quantiles as decimal fractions rather than percentages.",decimal fraction,uni,0,1,268,seed,0,0,0,-1,,
1,"1",Persistence of the southwestern Hokkaido tectonic regime,"Let TTR denote the additional time from the assessment date until the present regional tectonic regime affecting the defined southwestern Hokkaido RES area first undergoes a substantive and sustained reorganization. Such a reorganization may involve one or more of the following: (i) a sustained, significant change in the rate or direction of the specified relative plate motion; (ii) a sustained redistribution of deformation among the principal tectonic structures or zones; or (iii) a substantive change in the geometry or location of the regional tectonic regime. Transient earthquake-cycle, postseismic or other short-term geodetic changes should not be treated as termination of the regime. Please provide your 5th-, 50th- and 95th-percentile judgments for TTR, expressed in units of 10 ka.",units of 10 ka,uni,0,inf, ,target,0,0,0,-1,,Also state directly your probability that TTR will be at least 1 Myr (Pr [TTR ≥ 1 Myr]) :
2,"2.1",Long-term uplift along the Shakotan Peninsula – Hidden active faults within 5 km of the uplift area,"Modest regional uplift at rates of up to 0.5 m per thousand years, as indicated by the elevation of former interglacial shorelines (MIS 5 – 7), occur along the southwest coast of the Shakotan Peninsula in SW Hokkaido (Amano et al., 2018; Nuclear Power Plant Environmental Improvement Organisation, 2024). This uplift is distant from currently mapped active faults (> 1030 km distant) and active volcanoes (> 3065 km).  The cumulative effect of uplift over a few thousand years or longer could result in eventual daylighting of a repository via uplift and/or erosion, or in significant changes to the oxidizing/reducing environment around a repository over long timescales. For example, an active hidden fault could entail metre scale cumulative displacement in around 10,000 years, for overall uplift of 50 metres in about 100ka. Two other mechanisms are possible continuous processes, e.g., magma intrusion or isostatic adjustment, each with potential for long-term cumulative uplift effects. Our goal is to characterize our current knowledge of this uplift scenario by encoding individual expert’s 5th, 50th, 95th percentiles and pooling these judgments to generate a synthesis assessment of uncertainties relating to these potential contributions to uplift (see illustrative example plot). Three probable situations are identified below that could contribute to long-term uplift along the Shakotan Peninsula. (If you consider other mechanisms would be appropriate to consider in this context in future project discussions, please briefly note them in the text box below).   Please ascribe your median weights for the relative contributions of each mechanism and your 5th and 95th percentiles for each weight, all values must be within the relative weight interval [0..1].  Notes: Median and quantile weights = 0 indicate you judge that a mechanism makes no contribution to Shakotan Peninsula uplift.  Otherwise, your three median fractional weights should sum close to 1.0 (strictly, the means sum to 1.0).  Your marginal 5th and 95th percentiles are not simultaneous realizations of the process but a way of expressing your uncertainty around your median weight; these marginal percentile weights will not sum to 1.0, but each value must lie within interval [0..1]."," ",uni,0,1, ,target,2,4,1,-1,FigTQ2_1.png,
3,"2.2",Long-term uplift along the Shakotan Peninsula – Magma intrusion < 15 km from the area of uplift,"Modest regional uplift at rates of up to 0.5 m per thousand years, as indicated by the elevation of former interglacial shorelines (MIS 5 – 7), occur along the southwest coast of the Shakotan Peninsula in SW Hokkaido (Amano et al., 2018; Nuclear Power Plant Environmental Improvement Organisation, 2024). This uplift is distant from currently mapped active faults (> 1030 km distant) and active volcanoes (> 3065 km).  The cumulative effect of uplift over a few thousand years or longer could result in eventual daylighting of a repository via uplift and/or erosion, or in significant changes to the oxidizing/reducing environment around a repository over long timescales. For example, an active hidden fault could entail metre scale cumulative displacement in around 10,000 years, for overall uplift of 50 metres in about 100ka. Two other mechanisms are possible continuous processes, e.g., magma intrusion or isostatic adjustment, each with potential for long-term cumulative uplift effects. Our goal is to characterize our current knowledge of this uplift scenario by encoding individual expert’s 5th, 50th, 95th percentiles and pooling these judgments to generate a synthesis assessment of uncertainties relating to these potential contributions to uplift (see illustrative example plot). Three probable situations are identified below that could contribute to long-term uplift along the Shakotan Peninsula. (If you consider other mechanisms would be appropriate to consider in this context in future project discussions, please briefly note them in the text box below).   Please ascribe your median weights for the relative contributions of each mechanism and your 5th and 95th percentiles for each weight, all values must be within the relative weight interval [0..1].  Notes: Median and quantile weights = 0 indicate you judge that a mechanism makes no contribution to Shakotan Peninsula uplift.  Otherwise, your three median fractional weights should sum close to 1.0 (strictly, the means sum to 1.0).  Your marginal 5th and 95th percentiles are not simultaneous realizations of the process but a way of expressing your uncertainty around your median weight; these marginal percentile weights will not sum to 1.0, but each value must lie within interval [0..1]."," ",uni,0,1, ,target,2,4,1,-1,FigTQ2_1.png,
